SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20130501|D1668R123|DDAIF|5615|DAIMLER AG|55.09
20130501|D18190898|DB|9977|DEUTSCHE BANK AG NAMEN AKT (DE|46.05
20130501|G01767105|ALKS|91|ALKERMES PLC ORDINARY SHS (IRE|30.61
20130501|G0229R108|ALTE|127381|ALTERRA CAPITAL HLDGS LTD COM |32.55
20130501|G0335L102|ANFI|825|AMIRA NATURE FOODS LTD ORD SHS|7.66
20130501|G037AX101|AMBA|1222|AMBARELLA, INC ORD SHS|13.70
20130501|G0450A204|ARHPRC|461|ARCH CAPITAL GROUP LTD. 6.75% |27.60
20130501|G0457F107|ARCO|1626|ARCOS DORADOS HOLDINGDS INC. C|13.62
20130501|G0464B107|AGII|60|ARGO GROUP INTERNATIONAL HOLDI|41.45
20130501|G0471F109|APAGF|40|APCO OIL AND GAS INTERNATIONAL|10.11
20130501|G0535E106|APWC|1200|ASIA PACIFIC WIRE & CABLE CORP|3.84
20130501|G05384105|AHL|700|ASPEN INSURANCE HOLDINGS LTD O|38.19
20130501|G05384139|AHLPRA|6704|ASPEN INSURANCE HLDGS LTD PERF|27.56
20130501|G05384147|AHLPRB|110|ASPEN INSURANCE HOLDINGS LIMIT|27.28
20130501|G06207115|AFH|12699|ATLAS FINANCIAL HOLDINGS INC. |7.30
20130501|G0692U109|AXS|1013|AXIS CAPITAL HOLDINGS LTD|44.63
20130501|G0692U208|AXSPRA|2522|AXIS CAPITAL HOLDINGS, LTD PFD|25.29
20130501|G0692U307|AXSPRC|1084|AXIS CAPITAL HOLDINGS LIMITED |27.74
20130501|G10082140|EXXI|2387|ENERGY XXI|22.74
20130501|G1082J118|BGSCW|253|BGS ACQUISITION CORP WT EXP 9/|0.18
20130501|G1151C101|ACN|65719|ACCENTURE PLC CL-A ORDINARY SH|81.44
20130501|G16249107|BPY|2276|BROOKFIELD PPTY PARTNERS L P U|22.08
20130501|G16252101|BIP|48|BROOKFIELD INFRASTRUCTURE PART|38.65
20130501|G21107100|CO|1328|CHINA CORD BLOOD CORP ORDINARY|2.89
20130501|G2112E145|CHCWS|4400|CHINA HYDROELECTRIC CORP WARRA|0.03
20130501|G21170116|CTXIF|329|CHINA LINEN TEXTILE INDUSTRY L|0.02
20130501|G21174100|CNIT|20540|CHINA INFORMATION|1.35
20130501|G21490118|CISAW|9600|CIS ACQUISITION LTD WARRANT|0.16
20130501|G2266G102|JACQ|11|COLLABRIUM JAPAN ACQUISITION C|9.73
20130501|G2519Y108|BAP|172|CREDICORP LTD (COMM $5.00 PAR)|150.59
20130501|G27823106|DLPH|107627|DELPHI AUTOMOTIVE PLC|46.21
20130501|G30337102|EMEXF|118180|EMERALD PLANTATION HLDGS LTD O|0.35
20130501|G30397304|ENHPRB|854|ENDURANCE SPECIALTY HLDGS LTD |27.56
20130501|G3156P103|ASA|1086|ASA GOLD AND PRECIOUS METALS L|15.58
20130501|G32335104|EDS|151|EXCEED COMPANY LTD ORD SHS|1.20
20130501|G35569105|FLTX|331|FLEETMATICS GROUP PLC (IRELAND|23.47
20130501|G36738105|FDP|88|FRESH DEL MONTE PRODUCE(ORD)|25.41
20130501|G3682E127|FRO|11167|FRONTLINE LTD|1.82
20130501|G3727Q101|FSL|4100|FREESCALE SEMICONDUCTOR LTD|15.48
20130501|G37585109|GLOG|359|GASLOG LTD COMMON SHS (BERMUDA|12.80
20130501|G38275106|GNTOF|14000|GENTOR RESOURCES INC. COMMON S|0.02
20130501|G39320117|GAI|2025|GLOBAL-TECH ADVANCED INNOVATIO|7.50
20130501|G4412G101|HLF|188233|HERBALIFE LTD|39.71
20130501|G4705A100|ICLR|190|ICON PLC ADR|32.12
20130501|G491BT108|IVZ|7282|INVESCO LTD (NEW)|31.74
20130501|G50871105|JAZZ|4104|JAZZ PHARMACEUTICALS PLC COM S|58.35
20130501|G5138L100|JST|1511|JINPAN INT'L LTD(COMMON)|5.26
20130501|G54050102|LAZ|24|LAZARD LTD|33.90
20130501|G5784H106|MANU|427|MANCHESTER UTD PLC NEW|17.98
20130501|G62185106|MRH|860|MONTPELIER RE HOLDINGS LTD|25.76
20130501|G62185114|MRHPRA|113|MONTPELIER RE HLDNG LTD NON CU|27.88
20130501|G6331P104|AOSL|542|ALPHA & OMEGA SEMICONDUCTOR LT|7.24
20130501|G6359F103|NBR|555|NABORS INDS LTD (NEW) BERMUDA |14.79
20130501|G64626115|NEWL|7999|NEWLEAD HOLDINGS LTD|0.36
20130501|G65773106|NAT|5225|NORDIC AMERICAN TANKERS LTD SH|8.91
20130501|G6648D109|HLSS|1893|HOME LN SERVICING SOLUTIONS LT|22.65
20130501|G67742109|OB|2680|ONEBEACON INSURANCE GROUP LTD |13.59
20130501|G68603409|PREPRD|60|PARTNERRE LTD PFD SER D 6.5%|25.58
20130501|G68603508|PREPRE|1355|PARTNERRE LTD. PFD SER E (BERM|28.55
20130501|G7114V110|PMEWW|1|PINGTAN MARINE ENTERPRISE LTD |0.26
20130501|G7127P100|PTP|926|PLATINUM UNDERWRITERS HLDGS LT|56.75
20130501|G72436101|PACQ|450|PRIME ACQUISITION CORP|9.92
20130501|G72457107|PRSG|856|PRIMUS GUARANTY LTD|10.25
20130501|G7293H114|PUKPR|786|PRUDENTIAL PLC PERPETUAL SUB C|25.74
20130501|G7293H189|PUKPRA|2836|PRUDENTIAL PLC 6.50 EXCHG PERP|26.00
20130501|G7415M108|RCON|4347|RECON TECHNOLOGY LTD ORD SHS (|2.08
20130501|G7496G103|RNR|11361|RENAISSANCERE HOLDINGS LTD|93.89
20130501|G7498P309|RNRPRC|724|RENAISSANCERE HLDGS LTD 6.08% |25.58
20130501|G7498P408|RNRPRD|616|RENAISSANCERE HOLDINGS LTD 6.6|25.65
20130501|G7945M107|STX|300177|SEAGATE TECH PLC (IRL)|36.70
20130501|G80751103|SGOC|1394|SGOCO TECHNOLOGY LTD ORD SHS (|1.10
20130501|G81276100|SIG|131|SIGNET JEWELERS LTD COM SHS|68.73
20130501|G81477104|SINA|5133|SINA CORPORATION|56.32
20130501|G8766E109|TGH|524|TEXTAINER GROUP HOLDINGS LTD (|38.67
20130501|G88576106|THRSF|12810|Thunderbird Resorts, Inc. Ordi|0.81
20130501|G8883T104|OINK|1199|TIANLI AGRITECH INC COM SH (VG|0.70
20130501|G89982105|TAT|71|TRANSATLANTIC PETROLEUM LTD OR|0.80
20130501|G9108L108|TNP|7159|TSAKOS ENERGY NAVIGATION LTD|3.78
20130501|G9160X107|UMEWF|95|UMEWORLD LIMITED COM STK (VGB)|0.55
20130501|G9310A114|UTSI|8|UTSTARCOM HOLDINGS CORP ORD SH|2.77
20130501|G93205113|VTG|2402|VANTAGE DRILLING COMPANY ORD S|1.69
20130501|G93285107|VELT|7583|VELTI PLC, ST HELIER ORDINARY |2.00
20130501|G94368100|WCRX|36460|WARNER CHILCOTT PLC ORD SHS CL|14.38
20130501|G9456A100|GLNG|1689|GOLAR LNG LTD (BERMUDA)|33.42
20130501|G9618E107|WTM|27|WHITE MOUNTAINS INSRN GRP,LTD |578.31
20130501|G96666105|WSH|290|WILLIS GROUP HOLDINGS PUBLIC L|39.68
20130501|G9829R103|XTGRF|4635|XTRA-GOLD RESOURCES CORP COM S|0.77
20130501|G98290102|XL|1|XL GROUP PLC ORDINARY SHS (IRE|31.14
20130501|H01531104|AWH|230|ALLIED WORLD ASSURANCE COMP HL|90.81
20130501|H27013103|WFT|16401|WEATHERFORD INT'L LTD (SWITZER|12.79
20130501|H27178104|FWLT|1871|FOSTER WHEELER AG (SWITZERLAND|21.10
20130501|H2906T109|GRMN|316|GARMIN LTD COM STK (CH)|35.08
20130501|H50430232|LOGI|6324|LOGITECH INTERNATIONAL S.A .OR|6.35
20130501|H6169Q108|PNR|279|PENTAIR LTD|54.35
20130501|H8817H100|RIG|2280|TRANSOCEAN LTD (SWITZERLAND)|51.47
20130501|H89231338|UBS|39587|USB AG (NEW)|17.79
20130501|L0175J104|ASPS|50|ALTISOURCE PORTFOLIO SOLUTIONS|82.54
20130501|L5140P101|I|200|INTELSAT S A COM (LUX)|20.15
20130501|L5140P119|IPRA|300|INTELSAT S A MANDATORY CONV JR|55.00
20130501|M0861T118|ALVR|451|ALVARION LTD ORDINARY SHARES|2.96
20130501|M15629104|BCOM|42|B COMMUNICATIONS LTD|7.27
