SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20140801|D1668R123|DDAIF|249|DAIMLER AG|82.23
20140801|D18190898|DB|1927|DEUTSCHE BANK AG NAMEN AKT (DE|34.16
20140801|G00349103|ABY|66|ABENGOA YIELD PLC ORD SHS (GBR|36.18
20140801|G0083B108|ACT|103|ACTAVIS PLC COM SHS (IRL)|214.26
20140801|G0114P100|AMLZF|10000|AFRICAN MINERALS LIMITED ORDIN|1.21
20140801|G0129K104|AYR|302|AIRCASTLE LIMITED COM|17.95
20140801|G0176J109|ALLE|54|ALLEGION PUB LTD CO (IRL)|51.43
20140801|G01767105|ALKS|2179|ALKERMES PLC ORDINARY SHS (IRE|42.76
20140801|G0335L102|ANFI|14556|AMIRA NATURE FOODS LTD ORD SHS|15.01
20140801|G037AX101|AMBA|182|AMBARELLA, INC ORD SHS|28.61
20140801|G0404E104|ABAC|2642|AOXIN TIANLI GROUP INC COM SHS|1.97
20140801|G0408V102|AON|6|AON PLC ORD SHS CL A NEW (UK) |84.36
20140801|G0457F107|ARCO|11875|ARCOS DORADOS HOLDINGDS INC. C|10.26
20140801|G0464B107|AGII|81|ARGO GROUP INTERNATIONAL HOLDI|49.81
20140801|G0471F109|APAGF|99|APCO OIL AND GAS INTERNATIONAL|13.81
20140801|G05384105|AHL|109|ASPEN INSURANCE HOLDINGS LTD O|40.01
20140801|G0585R106|AGO|143|ASSURED GUARNATY LTD|22.32
20140801|G0692U109|AXS|1696|AXIS CAPITAL HOLDINGS LTD|43.15
20140801|G0692U117|AXSPRD|188|AXIS CAPITAL HLDGS LTD PFD SR |22.72
20140801|G07021101|HELI|23957|CHC GROUP LTD ORDINARY SHARES |7.20
20140801|G1151C101|ACN|1435|ACCENTURE PLC CL-A ORDINARY SH|79.28
20140801|G1190F107|BCRH|1099|BLUE CAP REINS HLDGS LTD COM S|17.76
20140801|G16249107|BPY|78|BROOKFIELD PPTY PARTNERS L P U|20.64
20140801|G16252101|BIP|254|BROOKFIELD INFRASTRUCTURE PART|39.65
20140801|G16258108|BEP|80963|BROOKFIELD RENEWABLE ENERGY PA|28.42
20140801|G16962204|BGEPF|232|Bunge Limited 4.875% Perpetual|106.70
20140801|G21125102|CNWHF|7033|CHINA NETWORKS INTL HLDGS LTD |0.02
20140801|G21174100|CNIT|1600|CHINA INFORMATION|4.85
20140801|G23773107|CWCO|1019|CONSOLIDATED WATER CO., INC.|10.39
20140801|G2519Y108|BAP|38|CREDICORP LTD (COMM $5.00 PAR)|147.92
20140801|G2554F113|COV|1366|COVIDIEN PLC|86.51
20140801|G29183103|ETN|6307|EATON CORP PLC (IRL)|67.92
20140801|G30397304|ENHPRB|1290|ENDURANCE SPECIALTY HLDGS LTD |26.25
20140801|G30401106|ENDP|694|ENDO INTL PLC ORD SHS (IRL)|67.08
20140801|G3075P101|ESGR|28|ENSTAR GROUP LIMITED ORD SHS|138.00
20140801|G3156P103|ASA|398|ASA GOLD AND PRECIOUS METALS L|14.41
20140801|G3163G104|CNR|1464|CHINA METRO-RURAL HOLDINGS LIM|0.97
20140801|G3198U102|ESNT|18|ESSENT GROUP LTD COM SHS (BMU)|18.21
20140801|G32335104|EDS|1254|EXCEED COMPANY LTD ORD SHS|1.56
20140801|G3323L100|FN|36|FABRINET ORD SHS (CYM)|18.60
20140801|G36738105|FDP|963|FRESH DEL MONTE PRODUCE(ORD)|29.94
20140801|G3727Q101|FSL|61609|FREESCALE SEMICONDUCTOR LTD|20.02
20140801|G3788M114|EROS|11799|EROS INTL PLC ORD SHS (IMN)|14.67
20140801|G39300101|GSOL|200|GLOBAL SOURCES LTD|7.38
20140801|G39319101|GBLI|2|GLOBAL INDEMNITY PLC COM STK (|24.93
20140801|G4095J109|GLRE|34|GREENLIGHT CAPITAL RE LTD CL A|32.36
20140801|G4388N106|HELE|338|HELEN OF TROY LTD-NEW-BERMUDA |53.63
20140801|G4412G101|HLF|1053652|HERBALIFE LTD|52.40
20140801|G4481U106|HIHO|2418|HIGHWAY HOLDINGS LTD|3.09
20140801|G45667105|HOLI|284698|HOLLYSYS AUTOMATION TECHNOLOGI|22.08
20140801|G4705A100|ICLR|69|ICON PLC ADR|51.80
20140801|G47204105|IKGH|596|LAO KUN GROUP HLDG CO LTD ORD |3.25
20140801|G47791101|IR|90|INGERSOLL-RAND PLC ORD SHS (IR|58.79
20140801|G48833100|WFT|564|WEATHERFORD INT'L PLC (IRELAND|22.37
20140801|G491BT108|IVZ|375|INVESCO LTD (NEW)|37.63
20140801|G50871105|JAZZ|118|JAZZ PHARMACEUTICALS PLC COM S|139.73
20140801|G5258J109|KING|37069|KING DIGITAL ENTMT PLC ORD SHS|19.45
20140801|G5299G106|VLCCF|512|KNIGHTSBRIDGE TANKERS LTD|11.40
20140801|G5307C105|KFX|13|KOFAX LIMITED COM STK|7.18
20140801|G54050102|LAZ|638|LAZARD LTD|52.30
20140801|G5480U104|LBTYA|130533|LIBERTY GLOBAL PLC SHS CL A|41.60
20140801|G5480U112|LBTYB|100|LIBERTY GLOBAL PLC SHS CL B (U|44.83
20140801|G5480U120|LBTYK|33435|LIBERTY GLOBAL PLC SHS CL C (U|39.99
20140801|G55598109|EVAR|2500|LOMBARD MEDICAL INC COMMON|6.01
