SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20060901|00080V203|ABNPRF|29760|ABN AMRO HLDG N.V. CAP FDG TR|.
20060901|00086T103|ACMR|16337|A.C.MOORE ARTS & CRAFTS INC|.
20060901|000912105|ACG|41451|ACM INCOME FD|.
20060901|000973107|ACTMQ|84164|ACT MANUFACTURING INC|.
20060901|00104Q107|AFCE|14550|AFC ENTERPRISES INC|.
20060901|00106X100|AFVS|43250|AFV SOLUTIONS, INC|.
20060901|00167K401|ADL|184565|AMDL INC|.
20060901|001765106|AMR|10000|AMR CORP|.
20060901|001963107|ASVI|12066|A S V INC|.
20060901|00208J108|ATPG|27873|ATP OIL & GAS CORPORATION|.
20060901|002097103|ASHI|11750|ASAP SHOW INC COM STK|.
20060901|00209H101|ATAHQ|10874821|ATA HLDGS CORP|.
20060901|002346104|AVII|90532|AVI BIOPHARMA INC|.
20060901|002458107|AXO|277431|AXS-ONE INC.|.
20060901|00253G108|AIC|20000|AMMES INVESTMENT CORPORATION M|.
20060901|00253U107|ASTM|40695|AASTROM BIOSCIENCES INC|.
20060901|00256K106|ABZS|12263|ABAZIAS INC|.
20060901|00288E300|ABMBF|18887|ABCOURT MINES INC CL-B (F)|.
20060901|003654100|ABMD|12411|ABIOMED INC|.
20060901|003709102|ABLE|19089|ABLE ENERGY INC|.
20060901|00371N407|ABLSQ|10075481|ABLE LABORATORIES INC|.
20060901|00372Q201|ABNPRG|70300|ABN AMRO CAP FDG TR VII GTD TR|.
20060901|00386B109|ALSWF|12500|ABSOLUTE SOFTWARE CORP|.
20060901|003924107|ABY|158525|ABITIBI-CONSOLIDATED INC|.
20060901|004225108|ACAD|38118|ACADIA PHARMACEUTICALS INC|.
20060901|004319109|AWWC|16995|ACCESS WORLDWIDE COMMUNICATION|.
20060901|004325205|AKLMQ|137979|ACCLAIM ENTERTAINMENT INC|.
20060901|004404109|ACEC|28092|ACE*COMM CORP|.
20060901|00443T101|ASDFF|298075|ACERO-MARTIN EXPLORATION INC|.
20060901|004507109|ACIE|225253|ACIES CORPORATION|.
20060901|004930202|ATVI|29162|ACTIVISION INC|.
20060901|00504W100|ACPW|19709|ACTIVE POWER INC|.
20060901|00509L109|ACUR|45770|ACURA PHARMACEUTICAL|.
20060901|00686R200|ADH|82367|ADHEREX TECHNOLOGIES INC COM S|.
20060901|007131105|ADBRF|45000|ADMIRAL BAY RESOURCES INC|.
20060901|00723N105|ADMH|38828|Admiralty Holding Company Comm|.
20060901|00725C107|ADON|37550|ADONE MEDIA INC|.
20060901|007391105|ADDL|14084|Aduddell Industries, Inc. Comm|.
20060901|007486103|AVNA|68885|ADVANCE NANTECH INC|.
20060901|00750Y206|AVTX|115109|ADVANCE TECHNOLOGIES INC|.
20060901|007511108|ADVC|409762|ADVANCED COMMUNICATIONS TECH|.
20060901|00752J108|AATI|15783|ADVANCED ANALOGIC TECHNOLOGIES|.
20060901|00752K105|ACTC|342197|ADVANCED CELL TECHNOLOGY, INC.|.
20060901|00754E107|API|17264|ADVANCED PHOTONIX INC CL-A|.
20060901|00754V109|ADOT|20464617|ADVANCED OPTICS ELECTRNCS INC|.
20060901|00755F103|ATISZ|42710|ADVANCED TISSUE SCIENCES INC|.
20060901|00756M404|ASX|22267|AMER SEMI-COND ENG ADS (5CMSH)|.
20060901|00760B105|AGIS|16138|AEGIS COMMUN GR INC-NEW|.
20060901|007623101|APWL|43000|ADVANCED POWERLINE TECHNOLOGIE|.
20060901|007624109|ADXS|10072|ADVAXIS, INC.|.
20060901|007635105|ARFR|22357|ADVANCED REFRACTIVE TECHNOLOGI|.
20060901|00763K102|ADZR|63196|ADZONE RESEARCH INC|.
20060901|00763M108|EYE|15600|ADVANCED MEDICAL OPTICS INC.|.
20060901|00764X103|ANX|125768|ADVENTRX PHARMACEUTICALS INC|.
20060901|00765X102|ADMD|16676|Advanced Medical Isotope Corp.|.
20060901|007924103|AEG|18710|AEGON NV -ORD-|.
20060901|007928104|ADVR|23600|ADVANCED VIRAL RESEARCH CORP|.
20060901|007979107|AURSF|10000|AGAU RESOURCES INC. (CANADA)|.
20060901|00826T108|AFFX|74593|AFFYMETRIX INC|.
20060901|008278103|AFCMF|48000|AFR-CAN MARINE MINERALS CORP|.
20060901|008920100|AITX|24542|AIRTRAX INC|.
20060901|009009101|AMWW|10914|AIMS WORLDWIDE INC|.
20060901|009253105|ABEW|17596|AIRBEE WIRELESS INC|.
20060901|00941P403|ANCCQ|751704|AIRNET COMMUNICATIONS CORP NEW|.
20060901|00950H102|AIRN|11612|AIRSPAN NETWORKS INC|.
20060901|009728106|AKN|19764|AKORN INC|.
20060901|010196103|AKSY|21504|AKSYS LTD|.
20060901|010392546|ALQ|10055|ALABAMA POWER COMPANY SR NT SE|.
20060901|010392553|ALF|17704|ALABAMA POWER COMPANY SR NT SE|.
20060901|010392561|ALPPRP|12104|ALABAMA POWER CO 5.30% CL A PF|.
20060901|011612405|ALAN|46588|ALANCO TECHNOLOGIES INC|.
20060901|013716105|AL|123005|ALCAN INC|.
20060901|013775101|ACMG|92807|Alcard Chemicals Group, Inc. (|.
20060901|013904305|ALA|1110681|ALCATEL ADS(EACH REP 1 ORD SH)|.
20060901|01407F103|ALBA|20934|ALDABRA AQUISITION CORP|.
20060901|015351109|ALXN|10366|ALEXION PHARMACEUTICALS INC|.
20060901|015388101|AHDS|62508|ALFA INTERNATIONAL HOLDINGS CO|.
20060901|015404106|ACEL|117031|ALFACELL CORP|.
20060901|015902109|AHBRF|45380|ALHAMBRA RES LTD|.
20060901|016255101|ALGN|54733|ALIGN TECHNOLOGY INC|.
20060901|017175100|Y|11753|ALLEGHANY CORP|.
20060901|018546101|AKP|35595|ALLIANCE CALIFORNIA INCOME FD|.
20060901|01858P105|ADTR|111978|ALLIANCE DISTRIBUTORS HOLDING,|.
20060901|01860U100|AETR|14196|THE ALLIANCE ENTERPRISE CORPOR|.
20060901|01864U106|AFB|32735|ALLIANCE MUNICIPAL INCOME FD|.
20060901|018773309|ALLP|93687|ALLIANCE PHARMACEUTICAL CORP-N|.
20060901|01903Q108|ALD|309838|ALLIED CAPITAL CORP|.
20060901|019153105|AGGI|59003|ALLIED ENERGY GROUP INC COM ST|.
20060901|019222108|AHPI|11800|ALLIED HEALTHCARE PRODS INC|.
20060901|019855303|ALOY|16020|ALLOY INC COM STK|.
20060901|02043Q107|ALNY|18063|ALYNLAM PHARMACEUTICALS INC|.
20060901|020814208|APTD|11724|ALPHATRADE.COM-NEW|.
20060901|02082E106|AGD|13708|ALPINE GLOBAL DYNAMIC DIVIDEND|.
20060901|021090204|APELY|10000|ALPS ELECTRIC LTD ADR|.
